Complaint ID,truth,predicted,confidence,text
CID96609472,Credit card,Debt collection,0.9658359332728362,"I received a voice mail from "" redacted '' with Asset Recovery Associates and was advised to call redacted regarding a complaint to be filed against me, complaint # redacted . I called back and spoke to a lady representing redacted and they are debt buyers of a debt in incurred in redacted with reda"
CID86702544,Debt collection,Mortgage,0.9452473479752327,Planning for retirement we acquired a rental property. From redacted to redacted we operated the property without any problems The property was serviced by Countrywide. ( The biggest lender at the time ) In redacted Countrywide collapsed and was acquired by Bank of ABC. We lost our jobs and defaulte
CID65935927,Credit reporting,Mortgage,0.9251181403211884,Bank of ABC reported that my account was delinquent in redacted past redacted days .... when I was working with a loan officer for a new home mortgage she told me that the credit report she pulled showed a 90 day delinquency in redacted My home loan was modified and I have made every payment on my m
CID59380757,Debt collection,Credit card,0.9145858675258803,I own a business and have used BOA credit cards for myself and my employee. I have a money limit on my card and my ex-employee had a clearly identified spendable maximum limit of money . He has been exceeding that limit and last month he spend over money on the card which as a money limit. BOA takes
CID59779660,Debt collection,Mortgage,0.9059130657476185,"I have a mortgage with Bank of ABC. During Covid- redacted Pandemic, I requested and was given a total of redacted months of mortgage payment deferment by the bank ( redacted thru redacted ). Once I resumed payments beginning redacted , I never received any formal written correspondence confirming t"
CID11347375,Bank account,Mortgage,0.8986496245139353,I have been trying to get a loan mod for a home equity line of credit that I got before the redacted crash ... Bank of America had sent me a letter stating they can modify it through a Government Program HEMP since I can not afford my house payment to go from redacted to redacted a month. For OVER a
CID30133398,Bank account,Credit card,0.8706444288205154,"I reported Fraud on my credit card. I reported the Fraud to Bank of America, the charge is still on my file as they "" research '' the issue. I want to pay the balance of my card but I do not want to pay the fraudulent charge. As a "" preferred client '' I tried to call and speak to the claims departm"
CID78857249,Credit card,Bank account,0.8615393586972877,I made a larger payment against a bank of ABC mastercard from my bank of ABC checking account on Friday redacted for money . Leaving Tuesday on a trip. No where on the bank website does it state that the payment will be held for 7 days. I am leaving on a trip on redacted and was told today after wai
CID59459782,Debt collection,Mortgage,0.8518011856202705,Around redacted my wife and I lost all our income except Social Security. A consulting company I worked for lost a client I was handling..This was a $ redacted . a month loss in our income. Prior to that my credit score was redacted . That was the first time my Mortgage payment was ever late. Also p
CID78400711,Credit card,Bank account,0.8506638437649933,"My business debit cards were stolen from my mail box, my bank had sent my debit cards with ( factory pins ) to my business address, I had no knowledge of this until the day the transactions happened. ( I had no knowledge of this because i still did n't have access to my mailbox, i was waiting for th"
CID56743545,Credit reporting,Credit card,0.8444237792449744,"I received a letter from Bank of ABC, dated redacted , asking me to call them right away because they'd detected suspicious activity on my credit card and as a precaution they've temporarily suspended the account. Afterwards, I called the phone number given on redacted , and spoke to the fraud depar"
